chapter_id,lesson_count
001,7
002,8
003,9
004,9
005,8
006,5
007,5
008,3
009,4
010,5
011,4
012,4
013,2
014,4
015,3
016,5
017,7
018,7
019,5
020,10
021,8
022,6
023,7
024,7
025,9
026,4
027,6
028,12
029,7
030,6
031,5
032,8
033,6
034,9
035,4
036,5
037,11
038,11
039,5
040,4
041,6
042,8
043,6
044,8
045,6
046,5
047,6
048,5
049,4
050,4
051,4
052,5
053,10
054,5
055,5
056,5
057,6
058,6
059,6
060,5
061,4
062,5
063,6
064,8
065,6
066,8
067,4
068,6
069,5
070,5
071,4
072,3
073,4
074,4
075,5
076,5
077,4
078,4
079,4
080,4
081,9
082,10
083,6
084,7
085,4
086,5
087,7
088,9
089,5
090,4
091,6
092,6
093,7
094,8
095,7
096,5
097,4
098,9
099,4
100,6
101,5
102,4
103,3
104,4
105,4
106,4
107,4
108,5
